,PassengerId,Survived,SibSp,Parch,Fare,HasCabin,HasAge,NewAge,IsMale,EmbarkedQ,EmbarkedS,IsFirstClass,IsSecondClass,IsTicketNumber
0,1,0,1,0,7.25,1,True,22.0,1,0,1,0,0,0
1,2,1,1,0,71.2833,0,True,38.0,0,0,0,1,0,0
2,3,1,0,0,7.925,1,True,26.0,0,0,1,0,0,0
3,4,1,1,0,53.1,0,True,35.0,0,0,1,1,0,1
4,5,0,0,0,8.05,1,True,35.0,1,0,1,0,0,1
5,6,0,0,0,8.4583,1,False,-1.0,1,1,0,0,0,1
6,7,0,0,0,51.8625,0,True,54.0,1,0,1,1,0,1
7,8,0,3,1,21.075,1,True,2.0,1,0,1,0,0,1
8,9,1,0,2,11.1333,1,True,27.0,0,0,1,0,0,1
9,10,1,1,0,30.0708,1,True,14.0,0,0,0,0,1,1
10,11,1,1,1,16.7,0,True,4.0,0,0,1,0,0,0
11,12,1,0,0,26.55,0,True,58.0,0,0,1,1,0,1
12,13,0,0,0,8.05,1,True,20.0,1,0,1,0,0,0
13,14,0,1,5,31.275,1,True,39.0,1,0,1,0,0,1
14,15,0,0,0,7.8542,1,True,14.0,0,0,1,0,0,1
15,16,1,0,0,16.0,1,True,55.0,0,0,1,0,1,1
16,17,0,4,1,29.125,1,True,2.0,1,1,0,0,0,1
17,18,1,0,0,13.0,1,False,-1.0,1,0,1,0,1,1
18,19,0,1,0,18.0,1,True,31.0,0,0,1,0,0,1
19,20,1,0,0,7.225,1,False,-1.0,0,0,0,0,0,1
20,21,0,0,0,26.0,1,True,35.0,1,0,1,0,1,1
21,22,1,0,0,13.0,0,True,34.0,1,0,1,0,1,1
22,23,1,0,0,8.0292,1,True,15.0,0,1,0,0,0,1
23,24,1,0,0,35.5,0,True,28.0,1,0,1,1,0,1
24,25,0,3,1,21.075,1,True,8.0,0,0,1,0,0,1
25,26,1,1,5,31.3875,1,True,38.0,0,0,1,0,0,1
26,27,0,0,0,7.225,1,False,-1.0,1,0,0,0,0,1
27,28,0,3,2,263.0,0,True,19.0,1,0,1,1,0,1
