,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,TicketGroup,HasCabin
0,1,0,3,male,22.0,1,0,7.25,S,other,1
1,2,1,1,female,38.0,1,0,71.2833,C,other,0
2,3,1,3,female,26.0,0,0,7.925,S,other,1
3,4,1,1,female,35.0,1,0,53.1,S,number,0
4,5,0,3,male,35.0,0,0,8.05,S,number,1
6,7,0,1,male,54.0,0,0,51.8625,S,number,0
7,8,0,3,male,2.0,3,1,21.075,S,number,1
8,9,1,3,female,27.0,0,2,11.1333,S,number,1
9,10,1,2,female,14.0,1,0,30.0708,C,number,1
10,11,1,3,female,4.0,1,1,16.7,S,other,0
11,12,1,1,female,58.0,0,0,26.55,S,number,0
12,13,0,3,male,20.0,0,0,8.05,S,other,1
13,14,0,3,male,39.0,1,5,31.275,S,number,1
14,15,0,3,female,14.0,0,0,7.8542,S,number,1
15,16,1,2,female,55.0,0,0,16.0,S,number,1
16,17,0,3,male,2.0,4,1,29.125,Q,number,1
18,19,0,3,female,31.0,1,0,18.0,S,number,1
20,21,0,2,male,35.0,0,0,26.0,S,number,1
21,22,1,2,male,34.0,0,0,13.0,S,number,0
22,23,1,3,female,15.0,0,0,8.0292,Q,number,1
23,24,1,1,male,28.0,0,0,35.5,S,number,0
24,25,0,3,female,8.0,3,1,21.075,S,number,1
25,26,1,3,female,38.0,1,5,31.3875,S,number,1
27,28,0,1,male,19.0,3,2,263.0,S,number,0
30,31,0,1,male,40.0,0,0,27.7208,C,other,1
33,34,0,2,male,66.0,0,0,10.5,S,other,1
34,35,0,1,male,28.0,1,0,82.1708,C,other,1
35,36,0,1,male,42.0,1,0,52.0,S,number,1
37,38,0,3,male,21.0,0,0,8.05,S,other,1
38,39,0,3,female,18.0,2,0,18.0,S,number,1
39,40,1,3,female,14.0,1,0,11.2417,C,number,1
40,41,0,3,female,40.0,1,0,9.475,S,number,1
41,42,0,2,female,27.0,1,0,21.0,S,number,1
43,44,1,2,female,3.0,1,2,41.5792,C,other,1
44,45,1,3,female,19.0,0,0,7.8792,Q,number,1
49,50,0,3,female,18.0,1,0,17.8,S,number,1
50,51,0,3,male,7.0,4,1,39.6875,S,number,1
51,52,0,3,male,21.0,0,0,7.8,S,other,1
52,53,1,1,female,49.0,1,0,76.7292,C,other,0
53,54,1,2,female,29.0,1,0,26.0,S,number,1
54,55,0,1,male,65.0,0,1,61.9792,C,number,0
56,57,1,2,female,21.0,0,0,10.5,S,other,1
